Complex ID,SMILES,Orig Rank,Model Conf,CNN Pose Score,Affinity (pK),Vina Score,File Path
complex_1,O=C1NC(=O)C(F)=CN1,9,0.22,0.40839,3.33162,-1.85066,results/complex_1/rank9_confidence0.22.sdf
complex_1,O=C1NC(=O)C(F)=CN1,11,0.21,0.40778,3.32641,-1.9569,results/complex_1/rank11_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,9,0.24,0.40669,3.335,-1.85637,results/complex_1/rank9_confidence0.24.sdf
complex_1,O=C1NC(=O)C(F)=CN1,10,0.23,0.40657,3.32888,-1.88828,results/complex_1/rank10_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,16,0.2,0.40606,3.32324,-2.21173,results/complex_1/rank16_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,15,0.21,0.40391,3.39131,-0.62995,results/complex_1/rank15_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,23,0.13,0.40345,3.43374,-0.03839,results/complex_1/rank23_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,10,0.22,0.399,3.35841,-1.75324,results/complex_1/rank10_confidence0.22.sdf
complex_1,O=C1NC(=O)C(F)=CN1,14,0.21,0.39664,3.31909,-1.53395,results/complex_1/rank14_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,18,0.19,0.3949,3.39549,-0.58195,results/complex_1/rank18_confidence0.19.sdf
complex_1,O=C1NC(=O)C(F)=CN1,22,0.13,0.39423,3.41614,0.05084,results/complex_1/rank22_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,19,0.18,0.38067,3.3069,-1.22941,results/complex_1/rank19_confidence0.18.sdf
complex_1,O=C1NC(=O)C(F)=CN1,20,0.17,0.37644,3.34022,-1.58217,results/complex_1/rank20_confidence0.17.sdf
complex_1,O=C1NC(=O)C(F)=CN1,23,0.1,0.37368,3.34843,-1.89411,results/complex_1/rank23_confidence0.10.sdf
complex_1,O=C1NC(=O)C(F)=CN1,24,0.08,0.37262,3.4335,-1.83316,results/complex_1/rank24_confidence0.08.sdf
complex_1,O=C1NC(=O)C(F)=CN1,30,-1.58,0.37183,3.57169,-2.28512,results/complex_1/rank30_confidence-1.58.sdf
complex_1,O=C1NC(=O)C(F)=CN1,20,0.16,0.36958,3.31259,-0.65898,results/complex_1/rank20_confidence0.16.sdf
complex_1,O=C1NC(=O)C(F)=CN1,22,0.14,0.36209,3.31737,-0.70291,results/complex_1/rank22_confidence0.14.sdf
complex_1,O=C1NC(=O)C(F)=CN1,29,-1.41,0.36074,3.37675,-1.54371,results/complex_1/rank29_confidence-1.41.sdf
complex_1,O=C1NC(=O)C(F)=CN1,30,-1.32,0.34863,3.50557,-2.45235,results/complex_1/rank30_confidence-1.32.sdf
complex_1,O=C1NC(=O)C(F)=CN1,24,0.04,0.3299,3.33032,-0.57599,results/complex_1/rank24_confidence0.04.sdf
complex_1,O=C1NC(=O)C(F)=CN1,26,-0.44,0.31752,3.36195,-2.51647,results/complex_1/rank26_confidence-0.44.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,2,-0.14,0.55179,5.39157,11.17307,results/complex_2/rank2_confidence-0.14.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,4,-0.48,0.5311,5.44697,6.6939,results/complex_2/rank4_confidence-0.48.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,3,-0.19,0.51468,5.29391,12.51381,results/complex_2/rank3_confidence-0.19.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,5,-0.52,0.50853,5.22831,19.80583,results/complex_2/rank5_confidence-0.52.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,1,-0.01,0.50249,5.53918,2.60943,results/complex_2/rank1_confidence-0.01.sdf
